Bid,Difference_Bid_PTE,Winner,codmat,coduasg,Tender,ipgItem,ipgQuantidade,ipgValorMinClassif,Pre_Tender,Date,Bid_value,numprp,prgCod,Competitor,atualizado,Number_bids,especificidade,frequencia,material,Collusive_competitor_original,Collusive_competitor,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST
7518943,5556675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370444,12480000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518912,5546675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370435,12490000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518942,5545695.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370443,12490980.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518882,5536675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370426,12500000.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518859,5516675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370396,12520000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518872,5495685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370412,12540990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518837,5486675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370376,12550000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518842,5465775.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370379,12570900.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518817,5445685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370359,12590990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518814,5436675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370352,12600000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518795,5416675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370327,12620000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518806,5415685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370344,12620990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518789,5406675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370320,12630000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518793,5405685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370325,12630990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518779,5395695.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370310,12640980.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518780,5386675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370311,12650000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518761,5385685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370290,12650990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518772,5376675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370302,12660000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518766,5366675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370295,12670000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518753,5356675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370282,12680000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518748,5345725.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370275,12690950.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518732,5345695.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370255,12690980.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518729,5286675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370250,12750000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
